city,timestamp,temperature_c,humidity_percent,heatwave_alert,rainfall_mm,current_load_percent,peak_load_percent,historical_failure_rate_percent,transformer_age_years,pressure_variance_percent,pipeline_age_years,recent_repairs_last_30_days,congestion_index,signal_failure_reports_last_7_days,population_density_per_km2,scenario_type,overall_failure_72h_label,power_failure_72h_label,transformer_overload_72h_label,water_failure_72h_label,traffic_failure_72h_label
Northbridge,2025-01-03T14:00:00+00:00,20.7,39.0,False,19.5,57.6,87.4,12.0,15.3,36.1,10.5,2,79.7,6,15432.3,high_density,1,1,1,0,1
Sunport,2025-01-03T15:00:00+00:00,32.7,62.1,False,79.4,79.4,82.7,17.6,33.6,32.4,32.9,6,69.0,5,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-03T16:00:00+00:00,43.0,54.5,True,80.9,91.5,96.7,22.7,24.4,48.0,27.6,7,84.1,8,13727.6,compound,1,1,1,1,1
Lakehurst,2025-01-03T17:00:00+00:00,33.6,63.5,False,7.0,66.7,74.2,13.0,11.0,12.9,34.6,2,72.9,5,10100.0,baseline,0,0,1,0,1
Bayhaven,2025-01-03T18:00:00+00:00,38.7,50.7,True,2.6,96.0,97.6,13.5,12.5,20.3,17.6,1,76.5,5,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-03T19:00:00+00:00,28.5,52.5,False,10.8,59.2,89.6,13.6,18.0,33.6,14.2,3,84.5,6,11624.7,high_density,1,1,0,1,1
Stonegate,2025-01-03T20:00:00+00:00,34.0,70.8,False,63.7,57.9,88.3,19.4,22.6,49.9,10.1,8,53.7,6,11700.0,failure_event,1,0,1,1,1
Hillford,2025-01-03T21:00:00+00:00,41.6,40.8,True,83.4,92.1,98.1,15.5,34.1,46.4,13.9,6,86.6,10,12411.7,compound,1,0,1,1,1
Metrovale,2025-01-03T22:00:00+00:00,27.0,54.8,False,14.9,74.0,70.6,7.4,16.1,26.3,29.0,0,76.2,4,11200.0,baseline,0,1,1,0,1
Riverton,2025-01-03T23:00:00+00:00,44.0,37.2,True,5.3,91.8,99.6,12.0,20.8,10.2,32.5,2,73.6,2,8400.0,heatwave,1,1,1,0,0
Northbridge,2025-01-04T00:00:00+00:00,20.2,54.3,False,12.5,69.8,85.4,8.4,14.4,38.7,12.6,4,91.3,12,11975.4,high_density,0,1,1,1,1
Sunport,2025-01-04T01:00:00+00:00,28.0,59.4,False,67.8,75.8,75.0,25.2,39.4,40.1,30.6,5,64.0,5,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-04T02:00:00+00:00,39.7,29.3,True,44.4,94.7,92.3,17.2,24.6,46.5,11.8,6,86.3,14,15133.2,compound,1,1,1,1,1
Lakehurst,2025-01-04T03:00:00+00:00,29.4,60.1,False,19.2,76.7,76.2,7.4,15.6,19.1,33.6,1,59.7,1,10100.0,baseline,1,0,1,0,0
Bayhaven,2025-01-04T04:00:00+00:00,38.3,58.7,True,2.7,88.5,99.3,12.0,16.5,18.6,33.5,1,71.8,4,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-04T05:00:00+00:00,24.8,67.0,False,4.6,71.9,77.7,11.3,21.1,31.0,11.3,1,92.0,8,17063.7,high_density,0,0,0,1,1
Stonegate,2025-01-04T06:00:00+00:00,26.9,61.7,False,72.6,81.6,75.4,21.1,24.8,38.0,12.6,4,54.0,2,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-04T07:00:00+00:00,39.5,32.5,True,84.1,88.1,92.2,20.4,24.6,59.3,26.5,5,80.6,14,17409.9,compound,1,1,1,1,1
Metrovale,2025-01-04T08:00:00+00:00,29.9,66.8,False,17.3,57.6,77.0,8.3,14.1,26.6,17.8,2,61.0,5,11200.0,baseline,1,0,0,1,0
Riverton,2025-01-04T09:00:00+00:00,41.1,56.7,True,2.3,95.3,94.6,13.1,9.2,29.9,24.4,3,87.1,2,8400.0,heatwave,0,1,1,1,0
Northbridge,2025-01-04T10:00:00+00:00,24.8,46.7,False,18.5,67.1,79.8,11.7,8.8,38.1,15.6,0,84.6,10,12124.8,high_density,0,0,1,0,1
Sunport,2025-01-04T11:00:00+00:00,21.9,60.3,False,56.5,60.9,87.0,20.7,25.2,56.3,19.1,7,48.6,6,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-04T12:00:00+00:00,39.1,32.5,True,46.9,96.0,95.4,21.1,28.7,54.0,32.7,7,95.0,8,15718.6,compound,1,1,1,1,1
Lakehurst,2025-01-04T13:00:00+00:00,25.4,38.1,False,17.8,61.8,85.8,8.7,22.1,18.4,17.6,0,52.2,2,10100.0,baseline,0,1,0,1,0
Bayhaven,2025-01-04T14:00:00+00:00,40.2,56.2,True,1.7,93.7,96.2,9.6,14.6,23.2,34.2,3,72.8,3,14500.0,heatwave,0,1,1,0,1
Ironwood,2025-01-04T15:00:00+00:00,31.0,50.2,False,15.4,59.4,88.1,5.1,9.7,30.7,19.1,4,92.4,15,12071.1,high_density,1,1,1,0,1
Stonegate,2025-01-04T16:00:00+00:00,28.6,64.6,False,69.5,57.8,77.9,21.0,39.2,32.7,34.2,5,76.4,6,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-04T17:00:00+00:00,40.4,30.1,True,69.8,90.9,94.2,25.7,24.0,42.1,13.8,4,93.9,8,12167.1,compound,1,0,1,1,1
Metrovale,2025-01-04T18:00:00+00:00,23.4,41.1,False,10.0,68.7,73.0,6.3,21.8,10.6,29.9,3,73.5,5,11200.0,baseline,1,0,0,1,1
Riverton,2025-01-04T19:00:00+00:00,39.6,27.4,True,5.8,90.8,93.0,13.8,19.4,17.4,25.9,1,86.0,5,8400.0,heatwave,1,0,1,0,1
Northbridge,2025-01-04T20:00:00+00:00,32.0,38.1,False,4.4,61.7,87.1,8.0,8.8,41.5,15.0,0,93.1,9,14644.7,high_density,1,1,0,1,1
Sunport,2025-01-04T21:00:00+00:00,20.3,69.0,False,48.1,80.5,70.7,21.5,37.8,33.3,25.9,4,50.2,6,13200.0,failure_event,1,1,0,1,1
Crestfield,2025-01-04T22:00:00+00:00,45.3,58.4,True,59.0,96.3,98.7,22.2,24.1,39.4,16.9,10,85.9,14,17683.6,compound,1,1,1,1,1
Lakehurst,2025-01-04T23:00:00+00:00,22.9,67.2,False,5.8,61.1,85.3,7.1,14.3,18.4,28.6,0,72.9,5,10100.0,baseline,1,1,0,0,1
Bayhaven,2025-01-05T00:00:00+00:00,44.6,28.8,True,3.0,91.6,97.6,6.2,8.8,13.7,26.0,0,85.6,5,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-05T01:00:00+00:00,27.8,45.2,False,2.6,57.7,70.9,5.5,8.3,42.2,23.9,2,95.6,14,14991.8,high_density,1,0,1,0,1
Stonegate,2025-01-05T02:00:00+00:00,27.0,67.4,False,62.8,64.6,72.8,19.3,31.6,54.9,31.0,7,53.3,1,11700.0,failure_event,1,1,1,1,0
Hillford,2025-01-05T03:00:00+00:00,44.9,45.4,True,64.8,92.3,94.6,22.6,22.1,53.0,12.7,4,91.8,10,16259.2,compound,1,1,1,1,1
Metrovale,2025-01-05T04:00:00+00:00,24.5,73.6,False,0.9,74.5,88.7,12.1,19.0,20.8,19.4,2,51.1,5,11200.0,baseline,0,0,0,0,0
Riverton,2025-01-05T05:00:00+00:00,40.7,57.0,True,1.8,92.8,92.7,7.9,21.7,12.9,21.6,1,84.3,3,8400.0,heatwave,0,1,1,0,1
Northbridge,2025-01-05T06:00:00+00:00,24.2,44.9,False,4.2,57.7,83.3,11.3,9.7,32.2,33.4,2,79.7,12,17918.5,high_density,1,0,1,1,1
Sunport,2025-01-05T07:00:00+00:00,21.6,57.2,False,57.7,57.7,83.0,24.8,27.8,46.4,14.8,6,64.7,4,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-05T08:00:00+00:00,43.8,28.6,True,42.1,94.7,96.4,25.0,31.5,55.9,12.4,8,89.1,8,15545.1,compound,1,1,1,1,1
Lakehurst,2025-01-05T09:00:00+00:00,31.3,37.6,False,5.1,59.9,79.6,7.0,18.1,22.4,10.0,0,74.0,3,10100.0,baseline,1,0,0,0,1
Bayhaven,2025-01-05T10:00:00+00:00,43.7,54.6,True,3.5,88.7,92.4,6.5,14.9,17.3,30.6,3,82.8,4,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-05T11:00:00+00:00,31.6,74.9,False,6.7,80.5,72.0,4.2,15.7,33.8,25.8,0,93.0,7,17044.6,high_density,1,0,1,1,1
Stonegate,2025-01-05T12:00:00+00:00,26.2,53.5,False,63.6,74.6,88.9,23.9,27.8,36.7,33.3,6,55.7,4,11700.0,failure_event,0,1,1,0,1
Hillford,2025-01-05T13:00:00+00:00,43.0,29.1,True,72.7,88.1,93.9,27.6,28.4,49.6,15.4,10,80.9,16,14583.3,compound,1,1,1,1,1
Metrovale,2025-01-05T14:00:00+00:00,28.6,47.5,False,16.6,79.8,80.5,13.4,14.7,29.7,19.7,3,67.2,5,11200.0,baseline,1,1,1,0,1
Riverton,2025-01-05T15:00:00+00:00,44.8,49.5,True,7.1,87.2,94.6,6.6,20.8,14.7,19.4,0,81.5,1,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-05T16:00:00+00:00,28.1,54.3,False,18.1,57.8,88.7,4.3,18.9,26.6,17.2,4,84.0,15,12397.1,high_density,1,1,0,0,1
Sunport,2025-01-05T17:00:00+00:00,25.5,39.1,False,87.7,64.0,81.8,26.9,33.0,56.6,32.1,7,71.0,3,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-05T18:00:00+00:00,39.5,58.2,True,88.4,87.3,92.0,27.9,36.4,55.1,30.2,8,91.7,11,16026.0,compound,1,1,1,1,1
Lakehurst,2025-01-05T19:00:00+00:00,24.7,35.2,False,1.7,66.5,75.1,12.2,9.1,20.6,21.8,1,55.8,6,10100.0,baseline,0,0,0,0,1
Bayhaven,2025-01-05T20:00:00+00:00,43.1,30.2,True,6.5,91.6,96.8,12.3,21.7,27.2,16.6,0,72.1,6,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-05T21:00:00+00:00,30.7,64.5,False,14.3,69.0,80.8,10.5,19.8,37.5,18.5,0,79.7,11,15328.1,high_density,0,1,1,1,1
Stonegate,2025-01-05T22:00:00+00:00,33.1,71.9,False,59.5,79.7,88.1,25.1,28.3,45.2,25.6,7,53.1,6,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-05T23:00:00+00:00,39.1,52.2,True,47.5,96.0,95.9,15.8,31.5,44.3,24.7,10,85.6,9,12375.6,compound,1,1,1,0,1
Metrovale,2025-01-06T00:00:00+00:00,24.7,48.6,False,17.1,78.3,71.7,11.8,11.4,11.4,29.6,4,75.3,1,11200.0,baseline,1,0,0,0,0
Riverton,2025-01-06T01:00:00+00:00,40.2,58.5,True,5.4,96.1,93.3,11.0,21.6,22.1,15.1,2,72.9,1,8400.0,heatwave,0,1,1,0,1
Northbridge,2025-01-06T02:00:00+00:00,22.7,38.3,False,19.1,64.4,76.2,7.9,18.5,26.3,18.5,2,82.7,6,17112.7,high_density,1,0,0,0,1
Sunport,2025-01-06T03:00:00+00:00,24.9,70.6,False,45.0,69.8,82.6,22.0,38.8,53.5,16.4,5,58.0,6,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-06T04:00:00+00:00,42.5,33.2,True,62.8,86.0,95.7,19.7,24.6,57.5,33.9,8,91.6,12,13700.6,compound,1,1,0,1,0
Lakehurst,2025-01-06T05:00:00+00:00,25.4,43.2,False,19.4,78.4,71.4,9.2,20.4,26.1,29.6,2,77.8,5,10100.0,baseline,1,0,1,0,0
Bayhaven,2025-01-06T06:00:00+00:00,44.5,55.4,True,0.2,95.0,94.6,5.4,20.0,13.0,14.6,3,76.3,2,14500.0,heatwave,0,1,1,0,1
Ironwood,2025-01-06T07:00:00+00:00,24.1,71.9,False,10.4,73.6,85.2,10.9,20.9,32.0,21.2,3,89.0,8,14725.6,high_density,1,0,1,0,1
Stonegate,2025-01-06T08:00:00+00:00,32.7,72.0,False,53.0,73.9,82.8,26.8,34.0,31.8,34.9,7,66.9,4,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-06T09:00:00+00:00,38.5,31.2,True,44.2,91.1,99.8,27.2,25.5,37.8,19.0,9,79.3,7,16926.0,compound,1,1,1,1,1
Metrovale,2025-01-06T10:00:00+00:00,20.6,52.9,False,13.5,72.1,86.1,9.1,16.3,21.2,33.0,3,48.6,3,11200.0,baseline,1,0,0,1,0
Riverton,2025-01-06T11:00:00+00:00,40.5,41.3,True,0.1,94.1,95.6,7.7,10.1,23.6,28.4,0,84.9,2,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-06T12:00:00+00:00,25.4,49.6,False,1.5,71.5,77.4,6.7,14.0,36.2,24.7,3,91.1,9,16543.0,high_density,1,0,1,1,1
Sunport,2025-01-06T13:00:00+00:00,20.0,69.3,False,80.6,63.1,83.6,15.7,24.0,31.5,33.3,9,48.5,1,13200.0,failure_event,1,0,0,1,1
Crestfield,2025-01-06T14:00:00+00:00,45.5,59.0,True,82.5,86.6,95.6,17.8,36.1,38.5,33.8,8,79.5,16,13687.9,compound,1,1,0,1,1
Lakehurst,2025-01-06T15:00:00+00:00,29.3,72.5,False,12.0,81.7,72.6,14.6,9.3,22.0,21.0,3,68.8,2,10100.0,baseline,1,0,1,1,1
Bayhaven,2025-01-06T16:00:00+00:00,39.1,50.6,True,4.5,89.5,99.3,4.6,11.9,28.9,14.6,4,87.4,3,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-06T17:00:00+00:00,32.7,46.9,False,11.7,71.9,75.2,9.9,9.4,35.0,28.7,4,79.5,9,11901.4,high_density,1,1,0,0,1
Stonegate,2025-01-06T18:00:00+00:00,29.5,69.2,False,79.9,74.1,83.5,16.2,38.4,51.5,10.3,8,57.8,1,11700.0,failure_event,1,0,1,1,0
Hillford,2025-01-06T19:00:00+00:00,42.4,36.3,True,67.6,86.3,93.9,15.9,26.8,42.9,24.0,6,91.7,9,14736.5,compound,1,1,1,1,1
Metrovale,2025-01-06T20:00:00+00:00,24.3,38.6,False,10.5,60.1,83.7,12.8,11.8,16.7,27.4,1,52.3,3,11200.0,baseline,1,1,1,0,1
Riverton,2025-01-06T21:00:00+00:00,39.6,34.4,True,2.4,88.1,95.6,4.1,15.5,29.3,17.0,1,87.8,1,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-06T22:00:00+00:00,25.5,61.4,False,5.6,76.7,89.0,7.6,18.9,22.6,11.9,3,95.2,9,15110.7,high_density,0,0,0,0,1
Sunport,2025-01-06T23:00:00+00:00,22.6,60.4,False,64.0,77.3,82.2,17.1,35.0,57.0,30.7,4,69.6,5,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-07T00:00:00+00:00,39.9,51.9,True,57.0,95.8,99.8,26.8,28.4,50.7,16.4,10,83.0,7,15028.8,compound,1,1,1,0,1
Lakehurst,2025-01-07T01:00:00+00:00,24.4,70.9,False,10.9,73.0,86.5,11.8,22.0,17.4,33.0,3,56.8,4,10100.0,baseline,1,1,1,0,1
Bayhaven,2025-01-07T02:00:00+00:00,39.5,26.8,True,4.7,96.8,98.6,7.9,21.0,27.8,22.6,4,81.9,2,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-07T03:00:00+00:00,24.6,50.3,False,14.2,70.8,86.3,10.4,22.7,24.0,12.0,3,85.2,9,11683.4,high_density,0,1,1,0,1
Stonegate,2025-01-07T04:00:00+00:00,25.0,73.8,False,67.7,65.4,88.4,21.0,38.3,36.0,15.0,10,53.8,2,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-07T05:00:00+00:00,42.4,33.5,True,37.6,87.3,92.3,26.1,22.6,58.7,28.6,5,92.0,16,17856.9,compound,1,1,1,1,1
Metrovale,2025-01-07T06:00:00+00:00,20.2,58.8,False,17.7,59.7,78.6,11.1,14.8,12.5,22.9,4,47.5,3,11200.0,baseline,1,1,1,0,0
Riverton,2025-01-07T07:00:00+00:00,45.4,49.4,True,4.0,87.0,95.4,12.4,23.7,12.4,27.3,2,82.1,5,8400.0,heatwave,1,1,1,1,1
Northbridge,2025-01-07T08:00:00+00:00,22.7,66.2,False,15.8,78.9,78.2,12.1,13.8,44.8,18.7,0,95.2,13,16377.0,high_density,0,1,1,1,1
Sunport,2025-01-07T09:00:00+00:00,32.5,36.1,False,72.9,63.7,81.9,25.0,38.1,49.0,24.6,4,55.3,5,13200.0,failure_event,1,1,1,1,1
